status,product_area,response,justification,request_type
replied,account_access,"To restore your access, you'll need to contact another Admin or Owner of your organization and ask them to navigate to Organization settings and change your role back to Admin or Owner. Alternatively, they can also restore your access by assigning an Enterprise seat to you. If you're unable to reach another Admin or Owner, you can also try contacting our Support team for further assistance. You can reach out to them by clicking on the message icon in the bottom right of our Help Center or by clicking your initials in the lower left corner of your Claude Console account, then ""Get help.""",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: account_access. Request type: product_issue. Company: Claude.,product_issue
replied,results_reports,"The HackerRank platform checks answers for plagiarism and prepares reports, but it does not have control over the tests or their results. For disputes regarding test scores or progression to the next round, you will need to contact the company that administered the test directly. They own the tests and have control over the assessment results. You can reach out to them to discuss your concerns and they will be able to assist you further.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: results_reports. Request type: product_issue. Company: HackerRank.,product_issue
escalated,merchant_issues,"Thank you for reaching out. This issue requires attention from our specialized support team and has been escalated. A representative will contact you shortly. Please do not share any sensitive information (passwords, card numbers) in follow-up messages.",Escalated due to: billing dispute involving significant money and potential merchant fraud. Product area: merchant_issues. Classification: product_issue.,product_issue
escalated,candidate_experience,"Thank you for reaching out. This issue requires attention from our specialized support team and has been escalated. A representative will contact you shortly. Please do not share any sensitive information (passwords, card numbers) in follow-up messages.",Escalated due to: Sensitive topic: 'refund'. Product area: candidate_experience. Classification: product_issue.,product_issue
escalated,billing,"Thank you for reaching out. This issue requires attention from our specialized support team and has been escalated. A representative will contact you shortly. Please do not share any sensitive information (passwords, card numbers) in follow-up messages.",Escalated due to: Billing dispute involving payment issue. Product area: billing. Classification: product_issue.,product_issue
replied,integrations,"The provided documentation does not cover the infosec process or forms for your company. HackerRank's documentation focuses on integrations, configuration steps, and key features of the platform. It also mentions that HackerRank does not participate in hiring decisions and is not authorized to share test results or modify your hiring workflow. For assistance with the infosec process, I recommend contacting HackerRank's support team directly for further guidance.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: integrations. Request type: feature_request. Company: HackerRank.,feature_request
replied,candidate_experience,"To access the practice features, you can start by logging in to SkillUp and navigating to the Learn tab. If you're having trouble with submissions, ensure you've completed the assessment and clicked the Submit button. Regarding the Apply tab, the documentation doesn't provide information on making it visible. If you're still experiencing issues, I recommend contacting support for further assistance.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: candidate_experience. Request type: product_issue. Company: HackerRank.,product_issue
replied,coding_challenges,"To resolve the issue, try opening the challenge in a different supported browser, such as the latest versions of Chrome, Firefox, or Edge, to ensure full compatibility. Additionally, ensure your internet connection is stable. If the problem persists, you can try accessing the test in a new browser window, as browser-level cache may be causing the issue. If none of these steps work, the documentation does not provide a specific solution, so I recommend contacting support for further assistance.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: coding_challenges. Request type: product_issue. Company: HackerRank.,product_issue
replied,candidate_experience,"The System Compatibility Check is a required step to ensure a stable testing environment. If you've met all the criteria except for the zoom connectivity, you may want to try using a supported browser and checking your network stability. The documentation doesn't provide specific troubleshooting steps for zoom connectivity issues. If the issue persists, I recommend contacting support@hackerrank.com and including your interview link for further assistance.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: candidate_experience. Request type: product_issue. Company: HackerRank.,product_issue
replied,candidate_experience,"To reschedule your HackerRank assessment, you can work with your interviewer to find a new time that suits you both. The scheduling information is available in your calendar event, and you can reschedule as required while still using the same HackerRank Interview link. If you need assistance with rescheduling, I recommend reaching out to the interviewer or the company's recruitment team to arrange an alternative date and time. Unfortunately, the provided documentation does not cover the process for requesting a reschedule from the candidate's side, so it's best to contact the company directly for support.",Replied based on corpus retrieval (4 doc(s) retrieved). Product area: candidate_experience. Request type: product_issue. Company: HackerRank.,product_issue
